Timestamp,Used Memory (MB) Diff,CPU Load 1 min Diff,CPU Load 5 min Diff,CPU Load 15 min Diff,Disk Usage (%) Diff,TX (MB) Diff,RX (MB) Diff,CPU Load 1 min Actual,CPU Load 5 min Actual,CPU Load 15 min Actual,Open Ports,Label,Attack Technique
2024-08-29 17:28:18,0.0,-0.040000000000000036,0.0,0.0,0.0,0.0,0.0,5.24,5.18,4.9,"22,443 41120,41121 5345,41123 41124,1000 9001,41100 80,44818 30003,22 4840,30003",0,0
2024-08-29 17:28:28,0.0,-0.11000000000000032,-0.02999999999999936,0.0,0.0,0.0,0.0,5.13,5.15,4.9,"22,443 41120,41121 5345,41123 41124,1000 9001,41100 80,44818 30003,22 4840,30003",0,0
2024-08-29 17:28:39,0.0,-0.019999999999999574,0.0,0.0,0.0,0.0,0.0,5.11,5.15,4.9,"22,443 41120,41121 5345,41123 41124,1000 9001,41100 80,44818 30003,22 4840,30003",0,0
2024-08-29 17:28:49,0.0,0.1299999999999999,0.02999999999999936,0.009999999999999787,0.0,0.0,0.0,5.24,5.18,4.91,"22,443 41120,41121 5345,41123 41124,1000 9001,41100 80,44818 30003,22 4840,30003",0,0
2024-08-29 17:29:00,0.0,-0.11000000000000032,-0.02999999999999936,0.0,0.0,0.0,0.0,5.13,5.15,4.91,"22,443 41120,41121 5345,41123 41124,1000 9001,41100 80,44818 30003,22 4840,30003",0,0
2024-08-29 17:29:10,0.0,0.04999999999999982,0.009999999999999787,0.0,0.0,0.0,0.0,5.18,5.16,4.91,"22,443 41120,41121 5345,41123 41124,1000 9001,41100 80,44818 30003,22 4840,30003",0,0
2024-08-29 17:29:21,0.0,-0.09999999999999964,-0.020000000000000462,0.0,0.0,0.0,0.0,5.08,5.14,4.91,"22,443 41120,41121 5345,41123 41124,1000 9001,41100 80,44818 30003,22 4840,30003",0,0
2024-08-29 17:29:31,0.0,-0.009999999999999787,0.0,0.0,0.0,0.0,0.0,5.07,5.14,4.91,"22,443 41120,41121 5345,41123 41124,1000 9001,41100 80,44818 30003,22 4840,30003",0,0
2024-08-29 17:29:42,0.0,-0.16000000000000014,-0.040000000000000036,-0.009999999999999787,0.0,0.0,0.0,4.91,5.1,4.9,"22,443 41120,41121 5345,41123 41124,1000 9001,41100 80,44818 30003,22 4840,30003",0,0
2024-08-29 17:29:52,0.0,-0.14000000000000057,-0.040000000000000036,-0.010000000000000675,0.0,0.0,0.0,4.77,5.06,4.89,"22,443 41120,41121 5345,41123 41124,1000 9001,41100 80,44818 30003,22 4840,30003",0,0
2024-08-29 17:30:03,0.0,0.20000000000000018,0.03000000000000025,0.010000000000000675,0.0,0.0,0.0,4.97,5.09,4.9,"22,443 41120,41121 5345,41123 41124,1000 9001,41100 80,44818 30003,22 4840,30003",0,0
2024-08-29 17:30:13,0.0,-0.08000000000000007,-0.019999999999999574,0.0,0.0,0.0,0.0,4.89,5.07,4.9,"22,443 41120,41121 5345,41123 41124,1000 9001,41100 80,44818 30003,22 4840,30003",0,0
2024-08-29 17:30:24,0.0,0.10000000000000053,0.019999999999999574,0.009999999999999787,0.0,0.0,0.0,4.99,5.09,4.91,"22,443 41120,41121 5345,41123 41124,1000 9001,41100 80,44818 30003,22 4840,30003",0,0
2024-08-29 17:30:34,0.0,-0.07000000000000028,-0.019999999999999574,-0.009999999999999787,0.0,0.0,0.0,4.92,5.07,4.9,"22,443 41120,41121 5345,41123 41124,1000 9001,41100 80,44818 30003,22 4840,30003",0,0
2024-08-29 17:30:45,0.0,-0.07000000000000028,-0.020000000000000462,0.0,0.0,0.0,0.0,4.85,5.05,4.9,"22,443 41120,41121 5345,41123 41124,1000 9001,41100 80,44818 30003,22 4840,30003",0,0
2024-08-29 17:30:55,0.0,0.020000000000000462,0.0,0.0,0.0,0.0,0.0,4.87,5.05,4.9,"22,443 41120,41121 5345,41123 41124,1000 9001,41100 80,44818 30003,22 4840,30003",0,0
2024-08-29 17:31:06,0.0,0.17999999999999972,0.03000000000000025,0.009999999999999787,0.0,0.0,0.0,5.05,5.08,4.91,"22,443 41120,41121 5345,41123 41124,1000 9001,41100 80,44818 30003,22 4840,30003",0,0
2024-08-29 17:31:16,0.0,-0.16000000000000014,-0.040000000000000036,-0.009999999999999787,0.0,0.0,0.0,4.89,5.04,4.9,"22,443 41120,41121 5345,41123 41124,1000 9001,41100 80,44818 30003,22 4840,30003",0,0
2024-08-29 17:31:27,0.0,-0.0699999999999994,-0.020000000000000462,0.0,0.0,0.0,0.0,4.82,5.02,4.9,"22,443 41120,41121 5345,41123 41124,1000 9001,41100 80,44818 30003,22 4840,30003",0,0
2024-08-29 17:31:37,0.0,-0.05000000000000071,-0.009999999999999787,0.0,0.0,0.0,0.0,4.77,5.01,4.9,"22,443 41120,41121 5345,41123 41124,1000 9001,41100 80,44818 30003,22 4840,30003",0,0
2024-08-29 17:31:48,0.0,0.03000000000000025,-0.009999999999999787,0.0,0.0,0.0,0.0,4.8,5.0,4.9,"22,443 41120,41121 5345,41123 41124,1000 9001,41100 80,44818 30003,22 4840,30003",0,0
2024-08-29 17:31:58,0.0,-0.04999999999999982,-0.009999999999999787,-0.010000000000000675,0.0,0.0,0.0,4.75,4.99,4.89,"22,443 41120,41121 5345,41123 41124,1000 9001,41100 80,44818 30003,22 4840,30003",0,0
2024-08-29 17:32:09,0.0,0.1200000000000001,0.009999999999999787,0.010000000000000675,0.0,0.0,0.0,4.87,5.0,4.9,"22,443 41120,41121 5345,41123 41124,1000 9001,41100 80,44818 30003,22 4840,30003",0,0
2024-08-29 17:32:19,0.0,0.11000000000000032,0.019999999999999574,0.009999999999999787,0.0,0.0,0.0,4.98,5.02,4.91,"22,443 41120,41121 5345,41123 41124,1000 9001,41100 80,44818 30003,22 4840,30003",0,0
2024-08-29 17:32:30,0.0,-0.07000000000000028,-0.019999999999999574,-0.009999999999999787,0.0,0.0,0.0,4.91,5.0,4.9,"22,443 41120,41121 5345,41123 41124,1000 9001,41100 80,44818 30003,22 4840,30003",0,0
2024-08-29 17:32:40,0.0,-0.14000000000000057,-0.03000000000000025,-0.010000000000000675,0.0,0.0,0.0,4.77,4.97,4.89,"22,443 41120,41121 5345,41123 41124,1000 9001,41100 80,44818 30003,22 4840,30003",0,0
2024-08-29 17:32:51,0.0,0.11000000000000032,0.020000000000000462,0.010000000000000675,0.0,0.0,0.0,4.88,4.99,4.9,"22,443 41120,41121 5345,41123 41124,1000 9001,41100 80,44818 30003,22 4840,30003",0,0
2024-08-29 17:33:01,4.0,-0.05999999999999961,-0.020000000000000462,0.0,0.0,0.0,0.0,4.82,4.97,4.9,"22,443 41120,41121 5345,41123 41124,1000 9001,41100 80,44818 30003,22 4840,30003",0,0
2024-08-29 17:33:13,-4.0,0.019999999999999574,0.0,0.0,0.0,0.0,0.0,4.84,4.97,4.9,"22,443 41120,41121 5345,41123 41124,1000 9001,41100 80,44818 30003,22 4840,30003",0,0
2024-08-29 17:33:23,0.0,0.020000000000000462,0.0,0.0,0.0,0.0,0.0,4.86,4.97,4.9,"22,443 41120,41121 5345,41123 41124,1000 9001,41100 80,44818 30003,22 4840,30003",0,0
2024-08-29 17:33:34,0.0,-0.05000000000000071,-0.009999999999999787,0.0,0.0,0.0,0.0,4.81,4.96,4.9,"22,443 41120,41121 5345,41123 41124,1000 9001,41100 80,44818 30003,22 4840,30003",0,0
2024-08-29 17:33:44,0.0,-0.04999999999999982,-0.019999999999999574,-0.010000000000000675,0.0,0.0,0.0,4.76,4.94,4.89,"22,443 41120,41121 5345,41123 41124,1000 9001,41100 80,44818 30003,22 4840,30003",0,0
2024-08-29 17:33:55,0.0,0.040000000000000036,0.0,0.0,0.0,0.0,0.0,4.8,4.94,4.89,"22,443 41120,41121 5345,41123 41124,1000 9001,41100 80,44818 30003,22 4840,30003",0,0
2024-08-29 17:34:05,1.0,-0.04999999999999982,-0.010000000000000675,0.0,0.0,0.0,0.0,4.75,4.93,4.89,"22,443 41120,41121 5345,41123 41124,1000 9001,41100 80,44818 30003,22 4840,30003",0,0
2024-08-29 17:34:16,-1.0,0.040000000000000036,0.0,0.0,0.0,0.0,0.0,4.79,4.93,4.89,"22,443 41120,41121 5345,41123 41124,1000 9001,41100 80,44818 30003,22 4840,30003",0,0
2024-08-29 17:34:26,0.0,0.09999999999999964,0.020000000000000462,0.010000000000000675,0.0,0.0,0.0,4.89,4.95,4.9,"22,443 41120,41121 5345,41123 41124,1000 9001,41100 80,44818 30003,22 4840,30003",0,0
2024-08-29 17:34:37,0.0,0.010000000000000675,0.0,0.0,0.0,0.0,0.0,4.9,4.95,4.9,"22,443 41120,41121 5345,41123 41124,1000 9001,41100 80,44818 30003,22 4840,30003",0,0
2024-08-29 17:34:47,0.0,-0.14000000000000057,-0.03000000000000025,-0.010000000000000675,0.0,0.0,0.0,4.76,4.92,4.89,"22,443 41120,41121 5345,41123 41124,1000 9001,41100 80,44818 30003,22 4840,30003",0,0
2024-08-29 17:34:58,0.0,-0.1200000000000001,-0.03000000000000025,-0.009999999999999787,0.0,0.0,0.0,4.64,4.89,4.88,"22,443 41120,41121 5345,41123 41124,1000 9001,41100 80,44818 30003,22 4840,30003",0,0
2024-08-29 17:35:08,1.0,0.010000000000000675,-0.009999999999999787,0.0,0.0,0.0,0.0,4.65,4.88,4.88,"22,443 41120,41121 5345,41123 41124,1000 9001,41100 80,44818 30003,22 4840,30003",0,0
2024-08-29 17:35:19,-1.0,-0.10000000000000053,-0.03000000000000025,-0.009999999999999787,0.0,0.0,0.0,4.55,4.85,4.87,"22,443 41120,41121 5345,41123 41124,1000 9001,41100 80,44818 30003,22 4840,30003",0,0
2024-08-29 17:35:29,1.0,-0.009999999999999787,-0.009999999999999787,0.0,0.0,0.0,0.0,4.54,4.84,4.87,"22,443 41120,41121 5345,41123 41124,1000 9001,41100 80,44818 30003,22 4840,30003",0,0
2024-08-29 17:35:40,-1.0,0.13999999999999968,0.020000000000000462,0.0,0.0,0.0,0.0,4.68,4.86,4.87,"22,443 41120,41121 5345,41123 41124,1000 9001,41100 80,44818 30003,22 4840,30003",0,0
2024-08-29 17:35:50,0.0,-0.02999999999999936,-0.010000000000000675,0.0,0.0,0.0,0.0,4.65,4.85,4.87,"22,443 41120,41121 5345,41123 41124,1000 9001,41100 80,44818 30003,22 4840,30003",0,0
2024-08-29 17:36:01,1.0,-0.020000000000000462,-0.009999999999999787,-0.009999999999999787,0.0,0.0,0.0,4.63,4.84,4.86,"22,443 41120,41121 5345,41123 41124,1000 9001,41100 80,44818 30003,22 4840,30003",0,0
2024-08-29 17:36:11,0.0,0.3700000000000001,0.07000000000000028,0.02999999999999936,0.0,0.0,0.0,5.0,4.91,4.89,"22,443 41120,41121 5345,41123 41124,1000 9001,41100 80,44818 30003,22 4840,30003",0,0
2024-08-29 17:36:22,0.0,-0.08000000000000007,-0.020000000000000462,-0.009999999999999787,0.0,0.0,0.0,4.92,4.89,4.88,"22,443 41120,41121 5345,41123 41124,1000 9001,41100 80,44818 30003,22 4840,30003",0,0
2024-08-29 17:36:32,-1.0,0.009999999999999787,0.010000000000000675,0.009999999999999787,0.0,0.0,0.0,4.93,4.9,4.89,"22,443 41120,41121 5345,41123 41124,1000 9001,41100 80,44818 30003,22 4840,30003",0,0
