Arp.Plc.Eclr/code.ESM_DATA1.ESM_INFOS[1].TASK_INFOS[1].LAST_ACTIVATION_DELAY,Arp.Plc.Eclr/code.ESM_DATA1.ESM_INFOS[1].TASK_INFOS[1].LAST_EXEC_DURATION,Arp.Plc.Eclr/code.IP_ACTIVE_DT,Arp.Plc.Eclr/code.USER_PART_DT.MEM_FREE,Arp.Plc.Eclr/code.USER_PART_DT.MEM_USAGE,Arp.Plc.Eclr/code.ESM_DATA1.ESM_INFOS[2].TASK_INFOS[1].LAST_ACTIVATION_DELAY,Arp.Plc.Eclr/code.USER_PART_DT.MEM_USED,Arp.Plc.Eclr/code.cpu_1,Arp.Plc.Eclr/code.cpu_2,Arp.Plc.Eclr/code.temp,Total_Exec_Duration,Total_Activation_delay,Arp.Plc.Eclr/code.ESM_DATA1.ESM_INFOS[2].TASK_INFOS[1].LAST_EXEC_DURATION,Label,Attack Technique,Timestamp
46.1,126.5,0.0,330993664.0,30.0,46.34,143077376.0,19.56,4.8,56.0,379.94,92.44,253.44,1,1,2024-08-24 22:01:37
51.24,137.7,0.0,330993664.0,30.0,49.62,143077376.0,23.7,10.8,56.0,406.36,100.86,268.66,1,1,2024-08-24 22:01:42
44.62,121.0,0.0,330993664.0,30.0,45.5,143077376.0,21.2,4.4,56.0,370.5,90.12,249.5,1,1,2024-08-24 22:01:47
50.94,131.52,0.0,330990960.64,30.0,50.86,143080079.36,31.18,11.98,56.0,400.64,101.8,269.12,1,1,2024-08-24 22:01:52
43.8,117.78,0.0,330989568.0,30.0,45.86,143081472.0,22.04,4.0,56.0,368.84,89.66,251.06,1,1,2024-08-24 22:01:57
75.06,181.7,0.0,330989568.0,30.0,61.78,143081472.0,32.38,25.86,56.0,497.42,136.84,315.72,0,0,2024-08-24 22:02:02
44.26,119.4,0.0,330989568.0,30.0,46.56,143081472.0,31.68,23.28,56.0,374.88,90.82,255.48,0,0,2024-08-24 22:02:07
53.66,142.4,0.0,330989568.0,30.0,48.88,143081472.0,22.44,13.2,56.0,409.22,102.54,266.82,0,0,2024-08-24 22:02:12
46.36,130.04,0.0,330989568.0,30.0,47.18,143081472.0,20.08,9.22,56.0,405.34,93.54,275.3,0,0,2024-08-24 22:02:17
53.58,136.5,0.0,330987929.6,30.0,49.1,143083110.4,24.42,13.8,56.0,466.72,102.68,330.22,0,0,2024-08-24 22:02:22
49.54,125.52,0.0,330985472.0,30.0,45.82,143085568.0,18.02,6.04,56.0,446.56,95.36,321.04,0,0,2024-08-24 22:02:27
53.74,142.2,0.0,330985472.0,30.0,48.5,143085568.0,22.6,13.2,56.0,462.78,102.24,320.58,0,0,2024-08-24 22:02:32
51.6,129.98,0.0,330985472.0,30.0,48.52,143085568.0,21.8,7.86,56.0,461.14,100.12,331.16,0,0,2024-08-24 22:02:37
56.62,147.42,0.0,330984734.72,30.0,51.02,143086305.28,24.92,13.24,56.0,487.42,107.64,340.0,0,0,2024-08-24 22:02:42
56.66,143.4,0.0,330923868.16,30.0,50.54,143147171.84,22.78,9.1,56.0,482.04,107.2,338.64,0,0,2024-08-24 22:02:47
59.68,150.14,0.0,330873569.28,30.0,56.06,143197470.72,24.58,10.96,56.0,518.14,115.74,368.0,0,0,2024-08-24 22:02:52
49.8,130.5,0.0,330842112.0,30.0,45.36,143228928.0,20.06,7.42,56.0,446.1,95.16,315.6,0,0,2024-08-24 22:02:57
68.62,171.32,0.0,330842112.0,30.0,54.38,143228928.0,20.36,11.04,56.0,527.9,123.0,356.58,2,2,2024-08-24 22:03:02
61.74,158.14,0.0,330842112.0,30.0,51.22,143228928.0,46.04,38.76,56.0,496.84,112.96,338.7,2,2,2024-08-24 22:03:07
45.28,123.56,0.0,330842112.0,30.0,42.14,143228928.0,17.0,5.5,56.0,419.06,87.42,295.5,2,2,2024-08-24 22:03:12
52.22,138.2,0.0,330839244.8,30.0,45.5,143231795.2,22.2,12.18,56.0,456.64,97.72,318.44,2,2,2024-08-24 22:03:17
47.88,132.94,0.0,330838016.0,30.0,43.62,143233024.0,17.2,5.08,56.0,439.16,91.5,306.22,2,2,2024-08-24 22:03:22
51.1,134.96,0.0,330838016.0,30.0,48.34,143233024.0,22.2,13.04,56.0,479.56,99.44,344.6,2,2,2024-08-24 22:03:27
46.2,129.16,0.0,330838016.0,30.0,42.96,143233024.0,17.2,5.8,56.0,426.0,89.16,296.84,2,2,2024-08-24 22:03:32
55.26,142.26,0.0,330836049.92,30.0,48.06,143234990.08,22.54,11.58,56.0,472.14,103.32,329.88,2,2,2024-08-24 22:03:37
48.22,130.56,0.0,330833920.0,30.0,43.46,143237120.0,20.82,5.54,56.0,438.62,91.68,308.06,2,2,2024-08-24 22:03:42
55.08,144.42,0.0,330833920.0,30.0,43.74,143237120.0,24.7,11.22,56.0,454.78,98.82,310.36,2,2,2024-08-24 22:03:47
46.32,128.92,0.0,330833920.0,30.0,44.36,143237120.0,42.88,5.5,56.0,449.46,90.68,320.54,2,2,2024-08-24 22:03:52
54.82,141.34,0.0,330833920.0,30.0,45.58,143237120.0,22.5,12.36,56.0,453.12,100.4,311.78,2,2,2024-08-24 22:03:57
58.9,144.34,0.0,330833920.0,30.0,50.36,143237120.0,19.18,6.06,56.0,473.2,109.26,328.86,2,2,2024-08-24 22:04:02
65.8,158.94,0.0,330833100.8,30.0,51.0,143237939.2,42.14,32.7,56.0,495.48,116.8,336.54,2,2,2024-08-24 22:04:07
48.58,131.44,0.0,330829824.0,30.0,43.52,143241216.0,18.14,5.62,56.0,433.28,92.1,301.84,2,2,2024-08-24 22:04:12
56.82,145.52,0.0,330829824.0,30.0,46.34,143241216.0,22.8,9.62,56.0,460.64,103.16,315.12,2,2,2024-08-24 22:04:17
47.04,124.68,0.0,330829824.0,30.0,43.56,143241216.0,19.4,7.12,56.0,435.7,90.6,311.02,2,2,2024-08-24 22:04:22
58.86,148.46,0.0,330778214.4,30.0,53.78,143292825.6,24.0,35.48,56.0,477.82,112.64,329.36,2,2,2024-08-24 22:04:27
48.28,129.4,0.0,330722017.28,30.0,47.96,143349022.72,23.3,12.2,56.0,436.08,96.24,306.68,2,2,2024-08-24 22:04:32
51.88,133.34,0.0,330686464.0,30.0,43.14,143384576.0,17.28,5.72,56.0,424.46,95.02,291.12,2,2,2024-08-24 22:04:37
49.4,125.64,0.0,330686464.0,30.0,47.32,143384576.0,21.34,12.22,56.0,416.92,96.72,291.28,2,2,2024-08-24 22:04:42
45.86,120.64,0.0,330686464.0,30.0,46.28,143384576.0,17.22,5.98,56.0,403.52,92.14,282.88,2,2,2024-08-24 22:04:47
56.2,140.7,0.0,330686464.0,30.0,49.22,143384576.0,21.8,11.68,56.0,440.78,105.42,300.08,2,2,2024-08-24 22:04:52
46.74,123.0,0.0,330686464.0,30.0,46.24,143384576.0,17.0,6.02,56.0,402.02,92.98,279.02,2,2,2024-08-24 22:04:57
78.24,182.44,0.0,330683596.8,30.0,57.52,143387443.2,28.56,18.42,56.0,527.6,135.76,345.16,2,2,2024-08-24 22:05:02
51.5,132.54,0.0,330682368.0,30.0,49.22,143388672.0,35.28,28.14,56.0,433.78,100.72,301.24,2,2,2024-08-24 22:05:07
