Timestamp,Used Memory (MB) Diff,CPU Load 1 min Diff,CPU Load 5 min Diff,CPU Load 15 min Diff,Disk Usage (%) Diff,TX (MB) Diff,RX (MB) Diff,CPU Load 1 min Actual,CPU Load 5 min Actual,CPU Load 15 min Actual,Open Ports,Arp.Plc.Eclr/code.ESM_DATA1.ESM_INFOS[1].TASK_INFOS[1].LAST_ACTIVATION_DELAY,Arp.Plc.Eclr/code.ESM_DATA1.ESM_INFOS[1].TASK_INFOS[1].LAST_EXEC_DURATION,Arp.Plc.Eclr/code.IP_ACTIVE_DT,Arp.Plc.Eclr/code.USER_PART_DT.MEM_FREE,Arp.Plc.Eclr/code.USER_PART_DT.MEM_USAGE,Arp.Plc.Eclr/code.ESM_DATA1.ESM_INFOS[2].TASK_INFOS[1].LAST_ACTIVATION_DELAY,Arp.Plc.Eclr/code.USER_PART_DT.MEM_USED,Arp.Plc.Eclr/code.cpu_1,Arp.Plc.Eclr/code.cpu_2,Arp.Plc.Eclr/code.temp,Total_Exec_Duration,Total_Activation_delay,Arp.Plc.Eclr/code.ESM_DATA1.ESM_INFOS[2].TASK_INFOS[1].LAST_EXEC_DURATION,Label,Attack Technique
6249.0,0.0,-0.0599999999999996,-0.0099999999999997,-0.0100000000000006,0.0,0.0,0.0,5.2,5.05,5.1,"22,443 2812,41120 41121,5345 41123,41124 1000,9001 41100,80 6705,44818 30003,22 4840,30003",57.28,143.24,0.0,221978624.0,53.0,48.02,252092416.0,18.46,11.4,56.0,501.16,105.3,357.92,10,10
6259.0,0.0,-0.1100000000000003,-0.0099999999999997,0.0,0.0,0.0,0.0,5.09,5.04,5.1,"22,443 2812,41120 41121,5345 41123,41124 1000,9001 41100,80 6705,44818 30003,22 4840,30003",54.14,141.02,0.0,221974528.0,53.0,50.7,252096512.0,26.26,5.0,56.0,519.46,104.84,378.44,10,10
6270.0,0.0,-0.1600000000000001,-0.04,-0.0199999999999995,0.0,0.0,0.0,4.93,5.0,5.08,"22,443 2812,41120 41121,5345 41123,41124 1000,9001 41100,80 6705,44818 30003,22 4840,30003",95.86,216.2,0.0,221974528.0,53.0,64.26,252096512.0,55.64,47.32,56.0,629.38,160.12,413.18,10,10
6280.0,-1.0,-0.0699999999999994,-0.0199999999999995,0.0,0.0,0.0,0.0,4.86,4.98,5.08,"22,443 2812,41120 41121,5345 41123,41124 1000,9001 41100,80 6705,44818 30003,22 4840,30003",55.06,144.24,0.0,221970432.0,53.0,47.18,252100608.0,18.0,9.72,56.0,473.12,102.24,328.88,10,10
6291.0,1.0,0.0299999999999993,0.0099999999999997,0.0,0.0,0.0,0.0,4.89,4.99,5.08,"22,443 2812,41120 41121,5345 41123,41124 1000,9001 41100,80 6705,44818 30003,22 4840,30003",63.78,163.9,0.0,221970432.0,53.0,50.34,252100608.0,27.78,12.22,56.0,523.76,114.12,359.86,10,10
6301.0,0.0,0.0100000000000006,0.0,0.0,0.0,0.0,0.0,4.9,4.99,5.08,"22,443 2812,41120 41121,5345 41123,41124 1000,9001 41100,80 6705,44818 30003,22 4840,30003",64.12,162.94,0.0,221969530.88,53.0,51.8,252101509.12,29.52,11.12,56.0,523.56,115.92,360.62,10,10
6312.0,0.0,-0.0600000000000005,-0.0200000000000004,-0.0099999999999997,0.0,0.0,0.0,4.84,4.97,5.07,"22,443 2812,41120 41121,5345 41123,41124 1000,9001 41100,80 6705,44818 30003,22 4840,30003",62.92,158.08,0.0,221966336.0,53.0,49.94,252104704.0,27.62,7.6,56.0,503.08,112.86,345.0,10,10
6322.0,0.0,0.1100000000000003,0.0200000000000004,0.0,0.0,0.0,0.0,4.95,4.99,5.07,"22,443 2812,41120 41121,5345 41123,41124 1000,9001 41100,80 6705,44818 30003,22 4840,30003",64.3,156.64,0.0,221966336.0,53.0,49.56,252104704.0,23.2,5.0,56.0,504.42,113.86,347.78,10,10
6333.0,1.0,-0.0600000000000005,-0.0200000000000004,0.0,0.0,0.0,0.0,4.89,4.97,5.07,"22,443 2812,41120 41121,5345 41123,41124 1000,9001 41100,80 6705,44818 30003,22 4840,30003",54.46,164.0,0.0,221958144.0,53.0,48.66,252112896.0,19.04,13.72,56.0,510.78,103.12,346.78,10,10
6343.0,0.0,0.1000000000000005,0.0200000000000004,0.0,0.0,0.0,0.0,4.99,4.99,5.07,"22,443 2812,41120 41121,5345 41123,41124 1000,9001 41100,80 6705,44818 30003,22 4840,30003",62.86,161.02,0.0,221877370.88,53.0,47.66,252193669.12,24.08,15.04,56.0,507.96,110.52,346.94,10,10
